id,name,city,video,time_of_day,start_time,end_time
326,Yekaterinburg2,Yekaterinburg,OtQot2TcHZY,0,1,1523
326,Yekaterinburg5,Yekaterinburg,Z_kcQ9lj7aE,0,50,754
326,Yekaterinburg6,Yekaterinburg,2pVcNy73Ujc,0,0,479
327,Novosibirsk1,Novosibirsk,JDB3vQ8AOW4,0,81,184
327,Novosibirsk2,Novosibirsk,dUenoL60Vok,0,12,52
327,Novosibirsk5,Novosibirsk,LOwRSPyC7OY,0,1,159
327,Novosibirsk7,Novosibirsk,-K_RRtZTs6U,0,54,383
327,Novosibirsk10,Novosibirsk,QJ8BcEoNtYY,0,1,692
327,Novosibirsk11,Novosibirsk,x3hkCphZr_M,0,11,728
327,Novosibirsk12,Novosibirsk,s_Bd3qeUeSM,0,1,311
327,Novosibirsk14,Novosibirsk,DIdrF9DQDDw,0,19,123
327,Novosibirsk15,Novosibirsk,sKLaw94zQ0M,0,21,1978
328,Murmansk1,Murmansk,GRXPi_jZ5rI,0,1,731
328,Murmansk2,Murmansk,Uz2Rf_sVxVk,0,39,153
328,Murmansk3,Murmansk,GvaIYVO677w,1,31,1041
328,Murmansk5,Murmansk,vYWbnwzqzuw,1,60,646
329,Rostov-on-Don1,Rostov-on-Don,FV_xB23NaAw,0,24,1601
329,Rostov-on-Don2,Rostov-on-Don,3BG85-tGaMw,0,60,1622
329,Rostov-on-Don3,Rostov-on-Don,PCP6IqbGN1s,0,54,1697
329,Rostov-on-Don5,Rostov-on-Don,FteyXW3-TQ8,0,16,1933
329,Rostov-on-Don6,Rostov-on-Don,pNVpcyHDBF8,0,42,1406
329,Rostov-on-Don7,Rostov-on-Don,PFrzKrgFY4E,0,59,1176
329,Rostov-on-Don8,Rostov-on-Don,Cb9em-HIAzg,0,35,670
329,Rostov-on-Don9,Rostov-on-Don,qgHTvmR0QqQ,0,14,260
330,Tyumen1,Tyumen,IknPmOLkeWM,0,1,1643
330,Tyumen2,Tyumen,yabNKZfH4ow,0,1,1699
330,Tyumen4,Tyumen,WDtHGFKTf1o,0,13,1896
330,Tyumen5,Tyumen,2DigETTpkdc,0,1,992
330,Tyumen6,Tyumen,6aFOHe1kWOk,0,5,1090
330,Tyumen7,Tyumen,YMnkYJjw4OQ,0,1,1469
330,Tyumen8,Tyumen,yQtukAEU-eQ,0,0,610
330,Tyumen9,Tyumen,WDtHGFKTf1o,0,13,1881
331,Omsk1,Omsk,eH0Rw3f2LOc,0,1,2381
331,Omsk2,Omsk,nS1dKcFT4N8,0,23,1764
331,Omsk3,Omsk,LmdV6iEl3mU,0,14,998
331,Omsk4,Omsk,NzQJVCy4ncQ,0,11,521
331,Omsk6,Omsk,VSWVD8DzK1o,0,0,303
331,Omsk7,Omsk,JAoZk-SHOG4,0,0,437
332,Kurgan1,Kurgan,8NfZFxG_Phg,0,1,1644
333,Tobolsk1,Tobolsk,8EFKlyw58Uo,0,1,1603
333,Tobolsk2,Tobolsk,zOWuKFHrxnU,0,99,208
334,Irbit1,Irbit,bhyIyHLJxYk,0,1,1395
336,Sochi2,Sochi,izKS1HTT0pU,0,1,958
336,Sochi3,Sochi,-4HunzHIXZs,0,7,1315
336,Sochi4,Sochi,gAWFYzXrY40,0,1,1083
336,Sochi5,Sochi,nV_rkwnHRvI,0,1,2623
336,Sochi6,Sochi,oyjQXRD5FCE,0,1,1564
336,Sochi7,Sochi,4pfFGUYolec,0,1,1545
336,Sochi8,Sochi,oP2cRbonf5I,0,1,1417
336,Sochi9,Sochi,s808UWtB-mo,1,1,1358
336,Sochi10,Sochi,eos29fDFIJY,0,1,2648
337,Khabarovsk1,Khabarovsk,nOwLsRi61_E,1,19,1975
337,Khabarovsk2,Khabarovsk,DhPu7x0ooj4,1,15,1330
337,Khabarovsk3,Khabarovsk,67SXCjcsNc8,0,15,2109
337,Khabarovsk4,Khabarovsk,SJjhgxbwros,0,6,1898
337,Khabarovsk5,Khabarovsk,XaEuEIDj2lY,0,5,1778
337,Khabarovsk6,Khabarovsk,YHAB4R8uXok,0,15,182
337,Khabarovsk7,Khabarovsk,HzdXhRHx3GY,0,7,1778
337,Khabarovsk8,Khabarovsk,_xJzbvt2cgk,0,7,1638
338,Kursk1,Kursk,Lc0Y-Gtam8Q,0,39,947
338,Kursk2,Kursk,CUvein5auqM,0,19,900
338,Kursk3,Kursk,DOSR_3Sb7kc,0,9,893
340,Volgograd1,Volgograd,1dJYyh9wcMQ,0,2,2788
340,Volgograd2,Volgograd,Ay8eLSpvIqs,0,1,3569
340,Volgograd3,Volgograd,pBMLcetWCkQ,0,8,84
340,Volgograd4,Volgograd,7nX_xS24TQo,0,2,297
341,Shadrinsk1,Shadrinsk,utrQRrCm19E,0,16,778
343,Gelendzhik1,Gelendzhik,Q7TjMdJ5WZk,0,11,1617
344,Tomsk1,Tomsk,6c6OcQUyHSc,0,1,1020
344,Tomsk2,Tomsk,1wJX0Qhanvg,0,1,1493
344,Tomsk3,Tomsk,yKslK8-EW6w,0,1,1348
344,Tomsk4,Tomsk,LfP1raeVA1k,0,93,1223
344,Tomsk6,Tomsk,GrtVobTEtPA,0,1,426
344,Tomsk7,Tomsk,0T-XODrqYXg,0,65,743
344,Tomsk8,Tomsk,OhwSzWe6lk4,0,96,466
344,Tomsk9,Tomsk,eBLLx_BoNMU,0,1,1158
344,Tomsk10,Tomsk,lRnW-4svoXE,0,1,1166
344,Tomsk11,Tomsk,N5-kURLolk8,0,1,1223
345,Kamensk-Uralsky1,Kamensk-Uralsky,pfHuIOQhUt4,0,28,942
347,Saint Petersburg1,Saint Petersburg,vKD8_m88tuk,0,1,4406
347,Saint Petersburg2,Saint Petersburg,BmDjMCHublI,0,1,1483
347,Saint Petersburg3,Saint Petersburg,b8dts7cY6dg,0,1,4247
347,Saint Petersburg4,Saint Petersburg,vmC-W778WEk,0,1,1658
347,Saint Petersburg5,Saint Petersburg,JDAeY_6QgLw,0,35,3127
347,Saint Petersburg6,Saint Petersburg,Uf7SD9i3msI,0,0,2344
347,Saint Petersburg7,Saint Petersburg,UM5hNVRBj0g,0,0,1029
347,Saint Petersburg8,Saint Petersburg,WXCb1j3JYKU,0,0,1711
347,Saint Petersburg9,Saint Petersburg,sSdePs5VEo0,0,0,625
348,Saratov1,Saratov,7g031vJSoCo,0,1,2627
349,Lipetsk1,Lipetsk,cuwfoxU7Uxw,0,2,990
350,Kirov1,Kirov,7Xbi2LiYmD8,0,40,494
350,Kirov3,Kirov,3jmz9-yw_ho,0,37,570
