id,name,city,video,time_of_day,start_time,end_time,downloaded,finished
678,Pointe-à-Pitre,Pointe-à-Pitre,V4bseJC9svQ,0,21,530,,
681,Bouillante,Bouillante,DbneXFHYKJk,0,92,488,,
684,Saint-François,Saint-François,qQfBLRXw0Vg,0,76,491,,
686,Pelican Key,Pelican Key,cmpCF1BOUDE,0,79,423,,
688,Marigot,Marigot,tItevXXD1Zg,0,77,228,,
701,Road Town,Road Town,ZMhtpElX9CM,0,0,810,,
705,George Town,George Town,AZJVdhRSjVg,0,15,1941,,
719,Antananarivo,Antananarivo,ZBwk5YJidZc,0,51,1794,,
720,Toamasina,Toamasina,UFsdlCfdFls,0,38,2043,,
721,Toliara,Toliara,K8u6MUAERJ0,0,31,1216,,
723,Port Moresby,Port Moresby,e7SAPvfvbZg,0,3,226,,
726,Nukuʻalofa,Nukuʻalofa,Hxg7TblRMlI,0,60,1567,,
730,Apia,Apia,CDW8T-TZYJs,1,24,504,,
740,Honiara,Honiara,HkHWZIJlL9U,0,59,237,,
741,Port Vila,Port Vila,n95sVQh3VE4,0,44,1005,,
745,Papeete,Papeete,PXTOoIyqXds,0,31,1527,,
756,Nadi,Nadi,dFBUd20pVKU,0,10,1083,,
767,Laura,Laura,5jjB02i0fHI,0,77,225,,
788,Funafuti,Funafuti,8bFAihDuDM0,0,30,374,,
808,Vientiane,Vientiane,OCtESrtTFos,0,0,1997,,
835,Nuuk,Nuuk,WJ92rHr-sH8,0,68,1435,,
837,Ilulissat,Ilulissat,c5je9ZObT1c,0,20,602,,
858,Naxxar,Naxxar,qTLQ441N8Sc,0,0,1590,,
860,Zabbar,Zabbar,dHhK0JgVcz0,0,0,486,,
862,Valletta,Valletta,4Sj6LfLos2g,0,11,2611,,
868,Birgu,Birgu,fsXk8bHD6uc,0,23,1044,,
872,Dingli,Dingli,xx8-5K6DIxI,0,34,840,,
874,St Paul's Bay,St Paul's Bay,#NAME?,0,20,98,,
875,Luqa,Luqa,5FMGg6JoYAA,0,0,46,,
883,Gżira,Gżira,d8fHXwNYfSk,0,6,250,,
